area_council,ward,community,sector,role_in_community,other_role_in_community,sex,age_in_completed_years,marital_status,occupation,other_occupation,physical_challenge,deaf,dumb,cripple,blind,amputee,has_other_physical_challenge,other_physical_challenge,community_existence,duration_in_community,community_duration_months,condition_of_roads,movement_easy_convenient,movement_difficult_inconvenient,transport_fare_high,too_many_accidents,public_power_supply,other_sources_of_electricity,hours_of_public_power,effect_of_power_condition,public_water_supply,private_boreholes,water_vendors,stream,hand_dug_wells,harvested_rain,most_impacted_by_water_supply,other_impacted_water_supply,healthcare_facility,teaching_hospital,specialist_hospital,private_hospital,maternity_health_center_or_dispensary,herbal_homes_traditional_birth_attendance,public_primary_healthcare_facility,functional_public_healthcare_facility,healthcare_residents_go_out_of_community,healthcare_increased_complications,healthcare_other_effect,healthcare_other_effect_non_functional,educational_institution,public_nursery_school,private_nursery_school,public_primary_school,private_primary_school,public_secondary_school,private_secondary_school,colleges_of_education_or_teacher_training,universities_polytechnics_research_institutions,other_types_educational_instutitions,other_educational_institutions,education_children_travel_long_distance,education_additional_costs,education_increased_danger_exposure,waste_mangement_system,who_manages_waste,waste_high_incidence_injury,waste_offensive_odour,waste_prevalence_of_diseases,waste_other_effects,other_waste_management_absence,services_supermarkets_departmental_stores,services_daily_markets,services_scheduled_markets,services_mobile_telephone_services,services_business_centres,services/Type_of_Services/hair_styling_t,services_fast_food_joints,services_other,services_other_services,services_market_available,market_facilities_access_roads,market_facilities_electricity,market_facilities_toilets,market_facilities_motor_parks,market_facilities_waste_refuse_dump,market_facilities_other,other_market_facilities,market_absence_effect_travel_long_distance,market_absence_effect_low_patronage,market_absence_effect_more_spent_to_markets,market_absence_effect_high_patronage,mtn_present,mtn_signal_strength,glo_present,glo_signal_strength,etisalat_present,etisalat_signal_strength,airtel_present,airtel_signal_strength,visafone_present,visafone_signal_strength,has_other_network,other_network_name,other_network_signal_strength,involved_in_budget_process,community_access_to_budget_document,respondent_awareness_of_project_in_budget,name_of_project_in_budget,project_in_budget_monitor_implementation,project_in_budget_ask_questions,project_in_budget_do_nothing,project_in_budget_get_media_attention,area_council_budget_community_writes_needs,area_council_budget_coummunity_consultation,area_council_budget_other,area_council_budget_other_ways,project_implemented_due_to_request,name_project_implemented_due_to_request,community_briefing_on_development,months_since_last_community_briefing,cda_present,cda_initiates_meetings_with_area_council,cda_writes_to_area_councils,cda_never_contacted_area_council,area_councils_initiate_meetings_with_cda,cda_work_with_area_council_other,other_cda_work_with_area_council,cda_gender_composition,priority_need_to_community,other_priority_need_to_community,gps_location_of_community,community_latitude,community_longitude,community_altitude,gps_precision,today,submission_time,submission_date
amac,gwarinpa,gwarinpa_village,rural,ordinary_member,n/a,female,45,married,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,6_to_10,n/a,non_graded,False,True,False,False,yes,n/a,19_to_23,commercial_activities,yes,n/a,n/a,n/a,n/a,n/a,no_or_low_incidence_diseases,n/a,under_construction,False,False,True,False,False,False,no,True,False,False,n/a,yes,False,True,True,True,True,True,False,False,False,n/a,n/a,n/a,n/a,yes,government,n/a,n/a,n/a,n/a,n/a,True,True,False,False,True,True,True,False,n/a,yes,False,False,True,False,False,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,n/a,no,no,no,n/a,False,False,True,False,True,False,False,n/a,no,n/a,don_t_know,n/a,yes,False,True,False,False,False,n/a,more_men,access_road,n/a,9.099605 7.406483333333333 487.1 4.7,9.099605,7.4064833333,487.1,4.7,2016-08-02,2016-08-02T14:04:52,2016-08-02
amac,gwarinpa,galadima,urban,youth_leader,n/a,male,34,married,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,30_or_more,n/a,graded,False,True,False,False,yes,n/a,7_to_12,social_life,yes,n/a,n/a,n/a,n/a,n/a,no_or_low_incidence_diseases,n/a,no,False,False,True,False,False,False,no,True,False,False,n/a,yes,True,True,True,True,True,True,False,False,False,n/a,n/a,n/a,n/a,yes,no_waste_management,n/a,n/a,n/a,n/a,n/a,False,True,False,True,True,True,True,False,n/a,yes,True,True,False,False,False,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,n/a,no,no,no,n/a,False,False,True,False,True,False,False,n/a,no,n/a,no,n/a,yes,False,True,False,False,False,n/a,all_men,primary_health,n/a,9.11946902 7.38489073 470.8999938964844 9.0,9.11946902,7.38489073,470.8999938965,9,2016-08-02,2016-08-02T14:53:57,2016-08-02
amac,gwarinpa,galadima,urban,ordinary_member,n/a,female,32,married,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,1_to_5,n/a,graded,True,False,False,False,yes,n/a,1_to_6,commercial_activities,no,True,True,False,False,False,lot_money_buying_water,n/a,no,False,False,True,False,False,False,no,True,False,False,n/a,yes,True,True,True,True,True,True,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,True,False,False,n/a,True,True,False,False,True,True,True,False,n/a,yes,True,True,False,False,False,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,n/a,no,no,no,n/a,False,False,True,False,True,False,False,n/a,no,n/a,don_t_know,n/a,yes,True,False,False,False,False,n/a,all_men,primary_health,n/a,9.11872735 7.38361289 478.29998779296875 19.0,9.11872735,7.38361289,478.299987793,19,2016-08-02,2016-08-02T14:54:22,2016-08-02
kuje,kwaku,sabo,rural,youth_leader,n/a,female,19,single,unemployed,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,16_to_20,n/a,non_graded,False,True,False,False,no,none_of_the_above,n/a,household_management,no,False,False,False,True,False,long_distance_water_search,n/a,yes,False,True,False,False,False,False,yes,n/a,n/a,n/a,n/a,yes,False,False,True,False,True,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,False,True,False,n/a,False,False,False,True,False,False,False,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,False,False,no,n/a,yes,strong,no,n/a,no,n/a,no,n/a,no,n/a,n/a,yes,no,no,n/a,False,False,True,False,True,False,False,n/a,yes,Bore hole water ,yes,1_to_6,yes,True,False,False,False,False,n/a,all_men,access_road,n/a,8.7903 7.200238333333334 221.8 4.9,8.7903,7.2002383333,221.8,4.9,2016-08-02,2016-08-02T15:14:23,2016-08-02
kuje,kwaku,sabo,rural,ordinary_member,n/a,male,29,married,farming,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,26_to_30,n/a,non_graded,False,True,False,False,no,none_of_the_above,n/a,social_life,no,False,False,True,True,False,high_incidence_diseases,n/a,yes,False,True,False,False,False,False,yes,n/a,n/a,n/a,n/a,yes,False,False,True,False,True,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,False,True,False,n/a,False,False,False,True,False,False,False,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,False,False,no,n/a,yes,strong,no,n/a,no,n/a,no,n/a,no,n/a,n/a,don_t_know,no,don_t_know,n/a,False,True,False,False,True,False,False,n/a,yes,Bore hole water ,yes,1_to_6,yes,True,False,False,False,False,n/a,all_men,access_road,n/a,8.790321666666667 7.200176666666666 221.3 4.9,8.7903216667,7.2001766667,221.3,4.9,2016-08-02,2016-08-02T15:14:29,2016-08-02
gwagwalada,paiko,kace,rural,community_head,n/a,male,81,married,farming,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,30_or_more,n/a,non_graded,False,True,True,False,no,generators,n/a,social_life,yes,n/a,n/a,n/a,n/a,n/a,long_distance_water_search,n/a,no,False,False,False,False,True,False,no,True,True,False,n/a,yes,False,False,True,False,False,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,True,True,True,False,n/a,False,False,False,False,False,False,False,True,no_market,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,False,False,yes,weak,yes,weak,yes,strong,yes,weak,no,n/a,no,n/a,n/a,no,no,no,n/a,False,False,True,False,True,False,False,n/a,no,n/a,no,n/a,yes,False,True,False,False,False,n/a,all_men,access_road,n/a,8.960991666666667 6.999825 120.5 4.9,8.9609916667,6.999825,120.5,4.9,2016-08-02,2016-08-02T15:44:49,2016-08-02
gwagwalada,paiko,kace,rural,women_leader,n/a,female,52,married,farming,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,30_or_more,n/a,non_graded,False,True,True,False,no,none_of_the_above,n/a,food_preservation,yes,n/a,n/a,n/a,n/a,n/a,long_distance_water_search,n/a,no,False,False,False,False,True,False,no,True,True,False,n/a,yes,False,False,True,False,False,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,True,True,False,n/a,False,False,False,False,False,False,False,True,no_market,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,False,False,yes,weak,yes,weak,yes,strong,yes,weak,no,n/a,no,n/a,n/a,no,no,no,n/a,False,False,True,False,True,False,False,n/a,no,n/a,no,n/a,yes,False,True,False,False,False,n/a,all_women,primary_health,n/a,8.958108333333334 7.006289999999999 142.8 4.6,8.9581083333,7.00629,142.8,4.6,2016-08-02,2016-08-02T15:45:05,2016-08-02
gwagwalada,paiko,passo,rural,community_head,n/a,male,45,married,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,30_or_more,n/a,non_graded,False,True,False,False,yes,n/a,1_to_6,commercial_activities,no,True,True,False,True,True,lot_money_buying_water,n/a,no,False,False,False,False,True,False,no,True,True,False,n/a,yes,True,True,True,True,False,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,True,True,False,False,n/a,True,True,False,True,False,True,True,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,False,False,yes,strong,yes,strong,yes,strong,yes,strong,yes,weak,no,n/a,n/a,yes,yes,no,n/a,False,True,False,False,True,False,False,n/a,no,n/a,yes,1_to_6,yes,True,True,False,False,False,n/a,men_and_women,access_road,n/a,8.964758333333332 7.0553099999999995 194.8 5.0,8.9647583333,7.05531,194.8,5,2016-08-02,2016-08-02T15:45:27,2016-08-02
gwagwalada,paiko,passo,rural,women_leader,n/a,female,33,married,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,30_or_more,n/a,non_graded,False,True,True,False,yes,n/a,1_to_6,commercial_activities,no,True,True,False,True,True,lot_money_buying_water,n/a,no,False,False,False,False,True,False,no,True,True,False,n/a,yes,True,True,True,True,False,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,True,True,True,False,n/a,True,True,False,True,False,True,True,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,False,False,yes,strong,yes,strong,yes,strong,yes,strong,yes,weak,no,n/a,n/a,yes,yes,no,n/a,False,True,False,False,True,False,False,n/a,no,n/a,yes,1_to_6,yes,True,True,False,False,False,n/a,all_women,water,n/a,8.96503 7.0558716666666665 191.8 4.8,8.96503,7.0558716667,191.8,4.8,2016-08-02,2016-08-02T15:45:55,2016-08-02
gwagwalada,kutunku,ungwan_fulani,rural,community_head,n/a,male,40,married,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,26_to_30,n/a,non_graded,False,True,False,False,yes,n/a,none_of_the_above,social_life,no,False,True,False,True,True,high_incidence_diseases,n/a,no,False,False,False,False,True,False,no,True,True,False,n/a,yes,True,False,True,False,False,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,True,True,False,n/a,False,False,False,False,False,False,False,True,no_market,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,False,False,yes,strong,yes,strong,yes,strong,yes,strong,yes,weak,no,n/a,n/a,no,no,no,n/a,False,False,True,False,True,False,False,n/a,no,n/a,no,n/a,yes,False,True,False,False,False,n/a,all_men,water,n/a,8.936115000000001 7.056863333333333 199.3 4.4,8.936115,7.0568633333,199.3,4.4,2016-08-02,2016-08-02T15:46:21,2016-08-02
gwagwalada,paiko,kaida_tsoho,rural,ordinary_member,n/a,female,47,married,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,30_or_more,n/a,non_graded,False,True,False,False,yes,n/a,none_of_the_above,food_preservation,no,True,True,False,True,True,lot_money_buying_water,n/a,no,False,False,True,False,True,False,no,True,True,False,n/a,yes,True,True,True,True,False,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,True,True,False,False,n/a,False,True,False,True,False,False,True,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,False,False,yes,strong,yes,strong,yes,weak,yes,strong,yes,weak,no,n/a,n/a,no,no,no,n/a,False,False,True,False,True,False,False,n/a,no,n/a,no,n/a,yes,False,True,False,False,False,n/a,men_and_women,access_road,n/a,8.94039 7.01765 165.1 4.6,8.94039,7.01765,165.1,4.6,2016-08-02,2016-08-02T15:46:45,2016-08-02
gwagwalada,paiko,kaida_tsoho,rural,community_head,n/a,male,84,married,farming,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,30_or_more,n/a,non_graded,False,True,True,False,no,generators,n/a,commercial_activities,no,True,False,False,True,True,high_incidence_diseases,n/a,yes,False,False,True,False,False,False,no,True,True,False,n/a,yes,True,True,True,True,False,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,True,True,True,False,n/a,False,False,False,True,True,False,True,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,False,False,yes,weak,yes,strong,yes,weak,yes,weak,no,n/a,no,n/a,n/a,no,no,no,n/a,False,False,True,False,True,False,False,n/a,no,n/a,no,n/a,yes,False,False,False,False,True,No communication with Area Council,men_and_women,access_road,n/a,8.940321666666668 7.017396666666667 179.0 4.9,8.9403216667,7.0173966667,179,4.9,2016-08-02,2016-08-02T15:47:08,2016-08-02
gwagwalada,kutunku,ungwan_fulani,rural,ordinary_member,n/a,male,45,married,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,30_or_more,n/a,non_graded,False,True,False,False,yes,n/a,1_to_6,food_preservation,no,False,False,False,True,True,high_incidence_diseases,n/a,no,False,False,False,False,True,False,no,True,True,False,n/a,yes,True,False,True,False,False,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,True,False,False,n/a,False,False,False,False,False,False,False,True,no_market,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,False,False,yes,strong,yes,strong,yes,strong,yes,weak,yes,weak,no,n/a,n/a,don_t_know,no,don_t_know,n/a,False,False,True,False,False,False,True,Do Not Know,don_t_know,n/a,no,n/a,yes,False,False,False,False,True,No communication between CDA and Area Council,all_men,water,n/a,8.930368333333332 7.059435 173.9 4.6,8.9303683333,7.059435,173.9,4.6,2016-08-02,2016-08-02T15:47:36,2016-08-02
amac,gwarinpa,kado_estate,urban,community_head,n/a,male,46,married,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,11_to_15,n/a,dilapidated,False,True,False,False,yes,n/a,13_to_18,household_management,yes,n/a,n/a,n/a,n/a,n/a,no_or_low_incidence_diseases,n/a,yes,False,False,True,False,False,False,no,True,False,False,n/a,yes,False,True,False,True,False,False,False,False,False,n/a,n/a,n/a,n/a,yes,private_sector,n/a,n/a,n/a,n/a,n/a,True,True,False,True,True,True,True,False,n/a,yes,True,True,True,True,True,False,n/a,n/a,n/a,n/a,n/a,yes,weak,yes,strong,yes,strong,yes,strong,no,n/a,no,n/a,n/a,don_t_know,yes,no,n/a,False,True,False,False,True,False,False,n/a,no,n/a,no,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,primary_health,n/a,9.0661558 7.4132951 0.0 2099.999,9.0661558,7.4132951,0,2099.999,2016-08-02,2016-08-02T15:54:45,2016-08-02
amac,gwarinpa,kado_estate,urban,ordinary_member,n/a,female,33,married,unemployed,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,11_to_15,n/a,dilapidated,False,True,False,False,yes,n/a,7_to_12,household_management,yes,n/a,n/a,n/a,n/a,n/a,no_or_low_incidence_diseases,n/a,yes,False,False,True,True,False,False,yes,n/a,n/a,n/a,n/a,yes,False,True,False,True,False,False,False,False,False,n/a,n/a,n/a,n/a,yes,private_sector,n/a,n/a,n/a,n/a,n/a,True,True,True,True,True,False,True,False,n/a,yes,True,True,True,True,True,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,weak,yes,strong,yes,strong,no,n/a,no,n/a,n/a,don_t_know,no,no,n/a,False,True,False,False,True,False,False,n/a,don_t_know,n/a,no,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,power,n/a,9.0680357 7.4051859 0.0 2099.999,9.0680357,7.4051859,0,2099.999,2016-08-02,2016-08-02T16:05:52,2016-08-02
amac,gwarinpa,life_camp,urban,ordinary_member,n/a,female,28,single,unemployed,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,21_to_25,n/a,dilapidated,True,False,False,False,yes,n/a,13_to_18,commercial_activities,yes,n/a,n/a,n/a,n/a,n/a,no_or_low_incidence_diseases,n/a,yes,False,True,True,False,False,True,yes,n/a,n/a,n/a,n/a,yes,False,True,False,True,False,True,False,False,False,n/a,n/a,n/a,n/a,yes,government_private,n/a,n/a,n/a,n/a,n/a,True,True,False,True,True,True,True,False,n/a,yes,True,True,True,True,True,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,no,n/a,n/a,don_t_know,yes,no,n/a,False,True,True,False,True,False,False,n/a,no,n/a,don_t_know,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,access_road,n/a,9.0687631 7.4031588 0.0 2000.0,9.0687631,7.4031588,0,2000,2016-08-02,2016-08-02T16:35:11,2016-08-02
amac,gwarinpa,life_camp,urban,other,Union Leader,male,52,married,other,driver,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,6_to_10,n/a,fully_tarred,True,False,False,False,yes,n/a,13_to_18,household_management,yes,n/a,n/a,n/a,n/a,n/a,punctuality,n/a,yes,False,True,True,False,False,False,yes,n/a,n/a,n/a,n/a,yes,True,True,True,True,True,True,False,False,False,n/a,n/a,n/a,n/a,yes,government_private,n/a,n/a,n/a,n/a,n/a,True,True,False,True,True,True,True,False,n/a,yes,False,True,True,True,True,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,no,n/a,n/a,no,yes,no,n/a,False,True,False,True,True,False,False,n/a,no,n/a,no,n/a,yes,False,True,False,False,False,n/a,all_men,access_road,n/a,9.0687631 7.4031588 0.0 2000.0,9.0687631,7.4031588,0,2000,2016-08-02,2016-08-02T16:35:17,2016-08-02
kuje,gaube,gude,rural,women_leader,n/a,female,43,married,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,16_to_20,n/a,non_graded,True,False,False,False,no,generators,n/a,household_management,no,False,False,True,False,False,high_incidence_diseases,n/a,no,False,False,False,False,True,False,yes,n/a,n/a,n/a,n/a,yes,False,False,True,False,False,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,True,False,False,n/a,True,False,False,False,False,False,False,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,False,False,yes,weak,yes,strong,yes,weak,yes,weak,no,n/a,no,n/a,n/a,no,no,no,n/a,False,True,True,False,True,False,False,n/a,no,n/a,no,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,access_road,n/a,n/a,n/a,n/a,n/a,n/a,2016-08-02,2016-08-02T16:39:59,2016-08-02
kuje,gaube,gude,rural,ordinary_member,n/a,male,36,single,student,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,6_to_10,n/a,non_graded,True,False,False,False,no,none_of_the_above,n/a,household_management,no,False,False,True,True,True,high_incidence_diseases,n/a,no,False,False,False,False,True,False,no,True,False,False,n/a,yes,False,False,True,False,False,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,False,True,False,n/a,False,False,False,False,False,False,False,True,none,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,True,True,yes,weak,yes,weak,yes,strong,yes,weak,no,n/a,no,n/a,n/a,don_t_know,no,don_t_know,n/a,False,False,True,False,True,False,False,n/a,no,n/a,no,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,access_road,n/a,n/a,n/a,n/a,n/a,n/a,2016-08-02,2016-08-02T16:40:28,2016-08-02
gwagwalada,gwako,kpasere,rural,ordinary_member,n/a,male,34,single,civil_service,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,30_or_more,n/a,non_graded,False,True,True,True,yes,n/a,1_to_6,commercial_activities,no,True,True,False,True,False,lot_money_buying_water,n/a,yes,False,False,False,False,False,True,no,True,True,True,The children may die before they get to the hospital,yes,True,True,True,True,True,True,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,True,True,False,n/a,True,False,False,True,True,True,True,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,True,False,yes,strong,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,n/a,don_t_know,no,yes,Road construction,False,True,False,False,True,False,False,n/a,no,n/a,no,n/a,yes,False,True,False,False,False,n/a,more_men,access_road,n/a,n/a,n/a,n/a,n/a,n/a,2016-08-02,2016-08-02T16:59:59,2016-08-02
gwagwalada,gwako,kpasere,rural,women_leader,n/a,female,32,married,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,30_or_more,n/a,non_graded,False,True,True,True,yes,n/a,1_to_6,food_preservation,no,True,True,False,False,False,lot_money_buying_water,n/a,yes,False,False,True,False,False,False,yes,n/a,n/a,n/a,n/a,yes,True,True,True,True,True,True,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,True,True,False,n/a,True,False,False,True,True,True,True,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,True,False,yes,strong,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,n/a,yes,no,don_t_know,n/a,False,True,False,False,True,False,False,n/a,no,n/a,no,n/a,yes,True,True,False,False,False,n/a,all_women,waste_management,n/a,n/a,n/a,n/a,n/a,n/a,2016-08-02,2016-08-02T17:00:06,2016-08-02
gwagwalada,gwako,malauni,rural,youth_leader,n/a,male,30,married,farming,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,26_to_30,n/a,non_graded,False,True,True,False,yes,n/a,24,commercial_activities,no,True,False,True,False,True,long_distance_water_search,n/a,no,False,False,False,False,True,False,no,True,True,False,n/a,yes,True,False,True,False,False,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,True,True,False,n/a,True,False,False,False,False,False,False,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,True,False,yes,weak,yes,strong,yes,strong,yes,weak,no,n/a,no,n/a,n/a,don_t_know,no,don_t_know,n/a,False,True,False,False,True,False,False,n/a,no,n/a,no,n/a,yes,False,True,False,False,False,n/a,all_men,water,n/a,n/a,n/a,n/a,n/a,n/a,2016-08-02,2016-08-02T17:00:10,2016-08-02
gwagwalada,gwako,malauni,rural,ordinary_member,n/a,female,27,married,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,26_to_30,n/a,non_graded,False,True,True,False,yes,n/a,24,social_life,no,False,False,True,False,True,long_distance_water_search,n/a,no,False,False,False,False,True,False,no,True,True,False,n/a,yes,True,False,True,False,False,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,True,True,False,n/a,True,False,False,False,False,False,False,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,True,False,yes,weak,yes,strong,yes,strong,yes,weak,no,n/a,no,n/a,n/a,don_t_know,no,don_t_know,n/a,False,False,True,False,True,False,False,n/a,no,n/a,no,n/a,yes,False,True,False,False,False,n/a,all_women,access_road,n/a,n/a,n/a,n/a,n/a,n/a,2016-08-02,2016-08-02T17:00:17,2016-08-02
gwagwalada,gwako,giri,rural,ordinary_member,n/a,female,29,married,unemployed,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,6_to_10,n/a,non_graded,False,True,False,False,yes,n/a,1_to_6,household_management,no,False,True,False,False,False,lot_money_buying_water,n/a,yes,False,False,True,False,False,False,yes,n/a,n/a,n/a,n/a,yes,False,False,True,True,True,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,True,True,False,n/a,True,False,False,False,False,True,True,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,True,False,yes,strong,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,n/a,don_t_know,no,no,n/a,False,False,True,False,True,False,False,n/a,no,n/a,no,n/a,yes,True,False,False,False,False,n/a,all_men,access_road,n/a,n/a,n/a,n/a,n/a,n/a,2016-08-02,2016-08-02T17:25:45,2016-08-02
gwagwalada,gwako,giri,rural,community_head,n/a,male,35,married,farming,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,30_or_more,n/a,non_graded,False,True,True,False,yes,n/a,none_of_the_above,household_management,no,False,True,False,False,False,long_distance_water_search,n/a,yes,False,False,False,False,False,True,no,True,True,False,n/a,yes,False,False,True,True,True,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,True,False,False,n/a,True,False,False,False,False,True,True,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,False,False,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,no,n/a,n/a,no,no,don_t_know,n/a,False,True,False,False,True,False,False,n/a,no,n/a,no,n/a,yes,True,False,False,False,False,n/a,all_men,power,n/a,n/a,n/a,n/a,n/a,n/a,2016-08-02,2016-08-02T17:26:18,2016-08-02
gwagwalada,gwako,gwako_town,rural,community_head,n/a,male,42,married,farming,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,30_or_more,n/a,non_graded,False,True,False,False,yes,n/a,1_to_6,commercial_activities,no,False,True,True,True,False,lot_money_buying_water,n/a,yes,False,False,True,False,False,False,yes,n/a,n/a,n/a,n/a,yes,False,False,True,True,True,True,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,True,True,False,n/a,True,True,False,False,True,True,True,False,n/a,yes,False,False,False,False,False,True,None,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,yes,weak,no,n/a,n/a,yes,no,yes,Road,True,True,False,False,True,False,False,n/a,yes,Road under construction and primary school,yes,1_to_6,yes,True,True,False,False,False,n/a,more_men,waste_management,n/a,8.96258 7.126448333333333 207.3 5.0,8.96258,7.1264483333,207.3,5,2016-08-02,2016-08-02T17:26:52,2016-08-02
gwagwalada,gwako,gwako_town,rural,ordinary_member,n/a,female,34,married,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,1_to_5,n/a,non_graded,False,True,False,False,yes,n/a,1_to_6,food_preservation,no,False,True,True,False,False,lot_money_buying_water,n/a,yes,False,False,True,False,False,False,yes,n/a,n/a,n/a,n/a,yes,False,False,True,False,True,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,True,True,False,n/a,True,True,False,False,True,True,True,False,n/a,yes,False,True,False,False,False,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,weak,yes,strong,yes,strong,no,n/a,no,n/a,n/a,don_t_know,no,don_t_know,n/a,False,True,False,False,True,False,False,n/a,don_t_know,n/a,no,n/a,yes,True,False,False,False,False,n/a,more_men,power,n/a,8.961868333333333 7.127448333333333 208.9 4.9,8.9618683333,7.1274483333,208.9,4.9,2016-08-02,2016-08-02T17:27:30,2016-08-02
